,0
0,Terrorism Protest Political Unrest Riot
1,Terrorism Protest Political Unrest Riot
2,Terrorism Protest Political Unrest Riot
3,Terrorism Protest Political Unrest Riot
4,Terrorism Protest Political Unrest Riot
5,Terrorism Protest Political Unrest Riot
6,Terrorism Protest Political Unrest Riot
7,Terrorism Protest Political Unrest Riot
8,Terrorism Protest Political Unrest Riot
9,Terrorism Protest Political Unrest Riot
10,Terrorism Protest Political Unrest Riot
11,Terrorism Protest Political Unrest Riot
12,Terrorism Protest Political Unrest Riot
13,Terrorism Protest Political Unrest Riot
14,Terrorism Protest Political Unrest Riot
15,Terrorism Protest Political Unrest Riot
16,Terrorism Protest Political Unrest Riot
17,Terrorism Protest Political Unrest Riot
18,Terrorism Protest Political Unrest Riot
19,Terrorism Protest Political Unrest Riot
20,Terrorism Protest Political Unrest Riot
21,Terrorism Protest Political Unrest Riot
22,Terrorism Protest Political Unrest Riot
23,Terrorism Protest Political Unrest Riot
24,Terrorism Protest Political Unrest Riot
25,Terrorism Protest Political Unrest Riot
26,Terrorism Protest Political Unrest Riot
27,Terrorism Protest Political Unrest Riot
28,Terrorism Protest Political Unrest Riot
29,Terrorism Protest Political Unrest Riot
30,Terrorism Protest Political Unrest Riot
31,Terrorism Protest Political Unrest Riot
32,Terrorism Protest Political Unrest Riot
33,Terrorism Protest Political Unrest Riot
34,Terrorism Protest Political Unrest Riot
35,Terrorism Protest Political Unrest Riot
36,Terrorism Protest Political Unrest Riot
37,Terrorism Protest Political Unrest Riot
38,Terrorism Protest Political Unrest Riot
39,Terrorism Protest Political Unrest Riot
40,Terrorism Protest Political Unrest Riot
41,Terrorism Protest Political Unrest Riot
42,Terrorism Protest Political Unrest Riot
43,Terrorism Protest Political Unrest Riot
44,Terrorism Protest Political Unrest Riot
45,Terrorism Protest Political Unrest Riot
46,Terrorism Protest Political Unrest Riot
47,Terrorism Protest Political Unrest Riot
48,Terrorism Protest Political Unrest Riot
49,Terrorism Protest Political Unrest Riot
50,Terrorism Protest Political Unrest Riot
51,Terrorism Protest Political Unrest Riot
52,Terrorism Protest Political Unrest Riot
53,Terrorism Protest Political Unrest Riot
54,Terrorism Protest Political Unrest Riot
55,Terrorism Protest Political Unrest Riot
56,Terrorism Protest Political Unrest Riot
57,Terrorism Protest Political Unrest Riot
58,Terrorism Protest Political Unrest Riot
59,Terrorism Protest Political Unrest Riot
60,Terrorism Protest Political Unrest Riot
61,Terrorism Protest Political Unrest Riot
62,Terrorism Protest Political Unrest Riot
63,Terrorism Protest Political Unrest Riot
64,Terrorism Protest Political Unrest Riot
65,Terrorism Protest Political Unrest Riot
66,Terrorism Protest Political Unrest Riot
67,Terrorism Protest Political Unrest Riot
68,Terrorism Protest Political Unrest Riot
69,Other
70,Other
71,Other
72,Other
73,Other
74,Positive Uplifting
75,Positive Uplifting
76,Positive Uplifting
77,Other
78,Terrorism Protest Political Unrest Riot
79,Positive Uplifting
80,Terrorism Protest Political Unrest Riot
81,Terrorism Protest Political Unrest Riot
82,Other
83,Other
84,Terrorism Protest Political Unrest Riot
85,Positive Uplifting
86,Other
87,Other
88,Positive Uplifting
89,Other
90,Positive Uplifting
91,Other
92,Other
93,Positive Uplifting
94,Other
95,Positive Uplifting
96,Other
97,Terrorism Protest Political Unrest Riot
98,Positive Uplifting
99,Other
100,Terrorism Protest Political Unrest Riot
101,Positive Uplifting
102,Other
103,Other
104,Other
105,Terrorism Protest Political Unrest Riot
106,Other
107,Terrorism Protest Political Unrest Riot
108,Positive Uplifting
109,Terrorism Protest Political Unrest Riot
110,Terrorism Protest Political Unrest Riot
111,Other
112,Terrorism Protest Political Unrest Riot
113,Other
114,Other
115,Terrorism Protest Political Unrest Riot
116,Other
117,Terrorism Protest Political Unrest Riot
118,Terrorism Protest Political Unrest Riot
119,Terrorism Protest Political Unrest Riot
120,Terrorism Protest Political Unrest Riot
121,Terrorism Protest Political Unrest Riot
122,Terrorism Protest Political Unrest Riot
123,Terrorism Protest Political Unrest Riot
124,Terrorism Protest Political Unrest Riot
125,Terrorism Protest Political Unrest Riot
126,Terrorism Protest Political Unrest Riot
127,Terrorism Protest Political Unrest Riot
128,Terrorism Protest Political Unrest Riot
129,Terrorism Protest Political Unrest Riot
130,Terrorism Protest Political Unrest Riot
131,Terrorism Protest Political Unrest Riot
132,Terrorism Protest Political Unrest Riot
133,Terrorism Protest Political Unrest Riot
134,Terrorism Protest Political Unrest Riot
135,Terrorism Protest Political Unrest Riot
136,Terrorism Protest Political Unrest Riot
137,Terrorism Protest Political Unrest Riot
138,Terrorism Protest Political Unrest Riot
139,Terrorism Protest Political Unrest Riot
140,Terrorism Protest Political Unrest Riot
141,Terrorism Protest Political Unrest Riot
142,Terrorism Protest Political Unrest Riot
143,Other
144,Other
145,Terrorism Protest Political Unrest Riot
146,Terrorism Protest Political Unrest Riot
147,Terrorism Protest Political Unrest Riot
148,Terrorism Protest Political Unrest Riot
149,Terrorism Protest Political Unrest Riot
150,Terrorism Protest Political Unrest Riot
151,Other
152,Terrorism Protest Political Unrest Riot
153,Other
154,Positive Uplifting
155,Other
156,Terrorism Protest Political Unrest Riot
157,Terrorism Protest Political Unrest Riot
158,Terrorism Protest Political Unrest Riot
159,Terrorism Protest Political Unrest Riot
160,Terrorism Protest Political Unrest Riot
161,Terrorism Protest Political Unrest Riot
162,Terrorism Protest Political Unrest Riot
163,Terrorism Protest Political Unrest Riot
164,Terrorism Protest Political Unrest Riot
165,Terrorism Protest Political Unrest Riot
166,Terrorism Protest Political Unrest Riot
167,Terrorism Protest Political Unrest Riot
168,Terrorism Protest Political Unrest Riot
169,Terrorism Protest Political Unrest Riot
170,Terrorism Protest Political Unrest Riot
171,Terrorism Protest Political Unrest Riot
172,Terrorism Protest Political Unrest Riot
173,Terrorism Protest Political Unrest Riot
174,Terrorism Protest Political Unrest Riot
175,Terrorism Protest Political Unrest Riot
176,Terrorism Protest Political Unrest Riot
177,Terrorism Protest Political Unrest Riot
178,Terrorism Protest Political Unrest Riot
179,Terrorism Protest Political Unrest Riot
180,Terrorism Protest Political Unrest Riot
181,Terrorism Protest Political Unrest Riot
182,Terrorism Protest Political Unrest Riot
183,Terrorism Protest Political Unrest Riot
184,Terrorism Protest Political Unrest Riot
185,Terrorism Protest Political Unrest Riot
186,Terrorism Protest Political Unrest Riot
187,Terrorism Protest Political Unrest Riot
188,Terrorism Protest Political Unrest Riot
189,Terrorism Protest Political Unrest Riot
190,Terrorism Protest Political Unrest Riot
191,Terrorism Protest Political Unrest Riot
192,Terrorism Protest Political Unrest Riot
193,Terrorism Protest Political Unrest Riot
194,Terrorism Protest Political Unrest Riot
